Date,Open,High,Low,Close,Adj Close,Volume
2022-05-05,45.000000,45.060001,43.450001,44.759998,43.889606,29978600
2022-05-06,44.610001,44.880001,43.520000,44.549999,43.683693,27035300
2022-05-09,43.970001,44.540001,43.230000,43.959999,43.105160,27132700
2022-05-10,44.389999,44.709999,42.189999,43.080002,42.242279,25276100
2022-05-11,43.110001,44.509998,42.490002,42.570000,41.742191,25291600
2022-05-12,42.230000,42.410000,40.919998,41.810001,40.996975,30171700
2022-05-13,42.450001,43.189999,42.279999,42.639999,41.810837,21253200
2022-05-16,42.400002,42.669998,41.700001,42.209999,41.389194,16837400
2022-05-17,42.990002,43.820000,42.959999,43.709999,42.860027,23340500
2022-05-18,43.290001,43.310001,41.889999,42.110001,41.291138,27351300
2022-05-19,41.700001,42.310001,41.570000,42.000000,41.183281,25211900
2022-05-20,42.509998,42.790001,40.740002,41.669998,40.859695,35410400
2022-05-23,42.730000,44.320000,42.730000,43.820000,42.967888,27979100
2022-05-24,43.689999,43.770000,42.639999,43.290001,42.448196,23996000
2022-05-25,43.090000,44.459999,43.029999,44.119999,43.262051,22343900
2022-05-26,44.830002,45.759998,44.750000,45.599998,44.713272,23502500
2022-05-27,45.700001,46.049999,45.450001,45.889999,44.997631,19482600
2022-05-31,45.340000,46.270000,45.000000,45.770000,44.879967,40727400
2022-06-01,45.959999,46.070000,44.400002,45.160000,44.281826,20417900
2022-06-02,45.119999,45.430000,44.509998,45.330002,44.448528,14633300
2022-06-03,44.830002,45.330002,44.610001,44.820000,43.948441,12572400
2022-06-06,45.340000,45.889999,44.959999,45.119999,44.242607,11867200
2022-06-07,44.759998,45.540001,44.630001,45.470001,44.585800,13281600
2022-06-08,44.880001,45.070000,44.230000,44.630001,43.762138,12364400
2022-06-09,44.580002,44.630001,42.639999,42.669998,41.840248,20142400
2022-06-10,41.029999,41.439999,40.020000,40.080002,39.300613,27619300
2022-06-13,38.980000,39.680000,38.770000,38.990002,38.231812,27553800
2022-06-14,38.770000,39.299999,37.009998,37.430000,36.702145,36817600
2022-06-15,38.000000,38.660000,37.330002,38.169998,37.427753,31358100
2022-06-16,37.360001,37.730000,36.540001,37.650002,36.917870,37991500
2022-06-17,37.830002,38.970001,37.500000,38.480000,37.731728,59114300
2022-06-21,39.860001,39.939999,38.869999,38.990002,38.231812,24884700
2022-06-22,38.389999,39.070000,38.310001,38.599998,37.849392,18631700
2022-06-23,38.060001,38.360001,37.150002,37.900002,37.163010,23143800
2022-06-24,38.680000,41.099998,38.509998,40.759998,39.967388,39407700
2022-06-27,40.840000,40.990002,39.900002,40.240002,39.457500,16996800
2022-06-28,40.970001,41.560001,40.080002,40.180000,39.398666,18136600
2022-06-29,40.270000,40.529999,39.549999,39.709999,38.937809,15778700
2022-06-30,39.070000,39.709999,38.279999,39.169998,38.408306,20425700
2022-07-01,38.720001,40.080002,38.459999,39.919998,39.143723,15333900
2022-07-05,39.000000,40.119999,38.509998,40.099998,39.320225,19144500
2022-07-06,39.610001,40.029999,38.919998,39.500000,38.731892,17014100
2022-07-07,40.209999,40.490002,39.730000,40.119999,39.339836,21060400
2022-07-08,40.299999,40.700001,39.860001,40.180000,39.398666,14437500
